Day;Month;Year;Time;Team;BP;BC;BP%;BC%;Tirs%;TR%;AN%;DN%;PUN
06;SEPTEMBRE;2019;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
06;SEPTEMBRE;2019;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
06;SEPTEMBRE;2019;19:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
06;SEPTEMBRE;2019;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
06;SEPTEMBRE;2019;19:45;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
06;SEPTEMBRE;2019;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
06;SEPTEMBRE;2019;20:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
06;SEPTEMBRE;2019;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
06;SEPTEMBRE;2019;20:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
06;SEPTEMBRE;2019;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
07;SEPTEMBRE;2019;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
07;SEPTEMBRE;2019;16:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
08;SEPTEMBRE;2019;14:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
08;SEPTEMBRE;2019;14:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
08;SEPTEMBRE;2019;14:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
08;SEPTEMBRE;2019;14:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
08;SEPTEMBRE;2019;14:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
08;SEPTEMBRE;2019;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
12;SEPTEMBRE;2019;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
12;SEPTEMBRE;2019;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
13;SEPTEMBRE;2019;19:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
13;SEPTEMBRE;2019;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
13;SEPTEMBRE;2019;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
13;SEPTEMBRE;2019;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
13;SEPTEMBRE;2019;19:45;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
13;SEPTEMBRE;2019;19:45;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
13;SEPTEMBRE;2019;20:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
13;SEPTEMBRE;2019;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
13;SEPTEMBRE;2019;20:00;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
13;SEPTEMBRE;2019;20:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
13;SEPTEMBRE;2019;20:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
13;SEPTEMBRE;2019;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
15;SEPTEMBRE;2019;14:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
15;SEPTEMBRE;2019;14:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
15;SEPTEMBRE;2019;14:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
15;SEPTEMBRE;2019;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
15;SEPTEMBRE;2019;15:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
15;SEPTEMBRE;2019;15:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
15;SEPTEMBRE;2019;16:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
15;SEPTEMBRE;2019;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
18;SEPTEMBRE;2019;19:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
18;SEPTEMBRE;2019;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
19;SEPTEMBRE;2019;19:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
19;SEPTEMBRE;2019;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
20;SEPTEMBRE;2019;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
20;SEPTEMBRE;2019;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
20;SEPTEMBRE;2019;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
20;SEPTEMBRE;2019;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
20;SEPTEMBRE;2019;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
20;SEPTEMBRE;2019;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
20;SEPTEMBRE;2019;19:45;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
20;SEPTEMBRE;2019;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
20;SEPTEMBRE;2019;20:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
20;SEPTEMBRE;2019;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
22;SEPTEMBRE;2019;13:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
22;SEPTEMBRE;2019;13:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
22;SEPTEMBRE;2019;14:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
22;SEPTEMBRE;2019;14:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
22;SEPTEMBRE;2019;14:30;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
22;SEPTEMBRE;2019;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
22;SEPTEMBRE;2019;16:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
22;SEPTEMBRE;2019;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
22;SEPTEMBRE;2019;16:00;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
22;SEPTEMBRE;2019;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
25;SEPTEMBRE;2019;20:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
25;SEPTEMBRE;2019;20:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
26;SEPTEMBRE;2019;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
26;SEPTEMBRE;2019;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
27;SEPTEMBRE;2019;19:30;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
27;SEPTEMBRE;2019;19:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
27;SEPTEMBRE;2019;19:30;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
27;SEPTEMBRE;2019;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
27;SEPTEMBRE;2019;19:45;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
27;SEPTEMBRE;2019;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
27;SEPTEMBRE;2019;20:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
27;SEPTEMBRE;2019;20:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
28;SEPTEMBRE;2019;14:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
28;SEPTEMBRE;2019;14:30;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
28;SEPTEMBRE;2019;15:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
28;SEPTEMBRE;2019;15:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
28;SEPTEMBRE;2019;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
28;SEPTEMBRE;2019;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
29;SEPTEMBRE;2019;13:30;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
29;SEPTEMBRE;2019;13:30;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
29;SEPTEMBRE;2019;14:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
29;SEPTEMBRE;2019;14:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
29;SEPTEMBRE;2019;14:30;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
29;SEPTEMBRE;2019;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
29;SEPTEMBRE;2019;16:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
29;SEPTEMBRE;2019;16:00;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
03;OCTOBRE;2019;19:30;VAL;235;135;4,9;2,81;39,52;30,21;23,51;81,3;1200
03;OCTOBRE;2019;19:30;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
04;OCTOBRE;2019;19:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
04;OCTOBRE;2019;19:30;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
04;OCTOBRE;2019;19:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
04;OCTOBRE;2019;19:30;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
04;OCTOBRE;2019;19:45;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
04;OCTOBRE;2019;19:45;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
04;OCTOBRE;2019;20:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
04;OCTOBRE;2019;20:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
05;OCTOBRE;2019;14:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
05;OCTOBRE;2019;14:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
05;OCTOBRE;2019;19:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
05;OCTOBRE;2019;19:00;WIS;158;281;3,29;5,85;31,54;44,31;18,6;73,5;1198
06;OCTOBRE;2019;14:00;PRI;282;206;5,88;4,29;40,98;35,79;34,09;86,07;732
06;OCTOBRE;2019;14:00;TER;246;161;5,13;3,35;40,65;31,13;26,37;82,08;750
06;OCTOBRE;2019;14:30;LON;274;117;5,71;2,44;41,35;25,96;29,35;84,41;574
06;OCTOBRE;2019;14:30;STJ;233;143;4,85;2,98;38,83;29,83;25,72;78,61;804
06;OCTOBRE;2019;15:00;STG;158;278;3,29;5,79;27;44,85;15,34;69,44;801
06;OCTOBRE;2019;15:00;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
06;OCTOBRE;2019;16:00;CDS;211;182;4,4;3,79;39,94;34,19;22,73;76,88;805
06;OCTOBRE;2019;16:00;CHA;185;254;3,85;5,29;35,35;36,4;18,41;77,08;850
06;OCTOBRE;2019;16:00;GAT;153;260;3,19;5,42;34,77;46,23;12,06;74,24;1031
06;OCTOBRE;2019;16:00;MTE;171;234;3,56;4,88;31,88;37,17;19,42;73,55;438
10;OCTOBRE;2019;19:30;GRA;212;251;4,42;5,23;33,56;39,31;24,65;75;965
