"Date","Location","Team","GF","GA","GF%","GA%","Sh%","Sv%","PP%","PK%","PenaltyTime","Final","Score"
"20.09.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","4"
"20.09.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","6"
"20.09.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","7"
"22.09.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Win","4"
"22.09.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","3"
"22.09.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","4"
"22.09.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","6"
"22.09.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","1"
"22.09.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","2"
"22.09.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","5"
"22.09.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","1"
"22.09.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","3"
"22.09.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"25.09.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","1"
"25.09.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Win","8"
"26.09.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","6"
"26.09.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","2"
"27.09.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","5"
"27.09.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","2"
"27.09.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","7"
"27.09.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","3"
"27.09.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","6"
"27.09.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","4"
"27.09.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","3"
"27.09.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","5"
"28.09.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","1"
"28.09.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","7"
"28.09.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","2"
"28.09.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","5"
"28.09.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","3"
"28.09.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","5"
"29.09.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","4"
"29.09.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","6"
"29.09.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","8"
"29.09.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","2"
"29.09.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","8"
"29.09.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","2"
"29.09.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","8"
"29.09.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","1"
"03.10.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","6"
"03.10.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Loss","3"
"04.10.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","3"
"04.10.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","6"
"04.10.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","5"
"04.10.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","7"
"04.10.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","3"
"04.10.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","8"
"04.10.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Win","6"
"04.10.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","3"
"05.10.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","4"
"05.10.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","1"
"05.10.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Win","9"
"05.10.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","4"
"06.10.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","2"
"06.10.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","3"
"06.10.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","6"
"06.10.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Loss","2"
"06.10.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","7"
"06.10.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","4"
"06.10.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","2"
"06.10.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","4"
"06.10.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","3"
"06.10.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Win","6"
"10.10.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","4"
"10.10.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","2"
"11.10.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","7"
"11.10.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","2"
"11.10.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","3"
"11.10.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","4"
"11.10.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","3"
"11.10.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Win","4"
"11.10.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","5"
"11.10.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Loss","2"
"11.10.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","4"
"11.10.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","5"
"11.10.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","5"
"11.10.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","7"
"13.10.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Win","6"
"13.10.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","2"
"13.10.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","6"
"13.10.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","2"
"13.10.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","7"
"13.10.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Loss","2"
"13.10.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","3"
"13.10.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","8"
"13.10.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","0"
"13.10.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","8"
"13.10.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Win","4"
"13.10.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","2"
"17.10.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","7"
"17.10.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","3"
"18.10.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","1"
"18.10.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","2"
"18.10.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","8"
"18.10.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","3"
"18.10.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","6"
"18.10.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Loss","4"
"18.10.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","5"
"18.10.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","3"
"18.10.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","4"
"18.10.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Win","7"
"19.10.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","3"
"19.10.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","7"
"19.10.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","2"
"19.10.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"19.10.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Win","4"
"19.10.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","3"
"20.10.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","3"
"20.10.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","0"
"20.10.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Win","6"
"20.10.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","5"
"24.10.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","8"
"24.10.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","1"
"25.10.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"25.10.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","2"
"25.10.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","6"
"25.10.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","2"
"25.10.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","9"
"25.10.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","2"
"25.10.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","2"
"25.10.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","11"
"25.10.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","4"
"25.10.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","7"
"26.10.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","1"
"26.10.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","6"
"27.10.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","2"
"27.10.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","5"
"27.10.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","1"
"27.10.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","5"
"27.10.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","6"
"27.10.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","2"
"27.10.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","9"
"27.10.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","1"
"27.10.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","3"
"27.10.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Win","7"
"27.10.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","5"
"27.10.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","6"
"31.10.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","2"
"31.10.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","0"
"01.11.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","6"
"01.11.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","5"
"01.11.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","14"
"01.11.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","1"
"01.11.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","2"
"01.11.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","7"
"01.11.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","3"
"01.11.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","6"
"01.11.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","1"
"01.11.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","6"
"03.11.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","8"
"03.11.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","2"
"03.11.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","12"
"03.11.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","2"
"03.11.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","2"
"03.11.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Win","3"
"03.11.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","6"
"03.11.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","5"
"03.11.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","8"
"03.11.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","0"
"07.11.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","6"
"07.11.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","1"
"08.11.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","2"
"08.11.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","0"
"08.11.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","3"
"08.11.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","4"
"08.11.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","7"
"08.11.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","4"
"08.11.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","4"
"08.11.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","11"
"09.11.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","1"
"09.11.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Win","6"
"10.11.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Loss","3"
"10.11.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","6"
"10.11.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","8"
"10.11.2019","Away","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","4"
"10.11.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","6"
"10.11.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","4"
"10.11.2019","Home","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"10.11.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","3"
"10.11.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","7"
"10.11.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","3"
"14.11.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","3"
"14.11.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","0"
"15.11.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","3"
"15.11.2019","Away","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","6"
"15.11.2019","Home","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","2"
"15.11.2019","Away","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","3"
"15.11.2019","Home","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Win","8"
"15.11.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","3"
"15.11.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","1"
"15.11.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","9"
"15.11.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","1"
"15.11.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","5"
"16.11.2019","Home","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","1"
"16.11.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","10"
"16.11.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Loss","1"
"16.11.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"17.11.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","5"
"17.11.2019","Away","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","2"
"17.11.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","2"
"17.11.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Win","3"
"17.11.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","4"
"17.11.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Win","7"
"17.11.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Win","6"
"17.11.2019","Away","GRA","212","251","4,42","5,23","33,56","39,31","24,65","75","965","Loss","2"
"20.11.2019","Home","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Win","5"
"20.11.2019","Away","WIS","158","281","3,29","5,85","31,54","44,31","18,6","73,5","1198","Loss","2"
"21.11.2019","Home","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","1"
"21.11.2019","Away","LON","274","117","5,71","2,44","41,35","25,96","29,35","84,41","574","Win","6"
"21.11.2019","Home","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","6"
"21.11.2019","Away","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Loss","1"
"22.11.2019","Home","CDS","211","182","4,4","3,79","39,94","34,19","22,73","76,88","805","Win","8"
"22.11.2019","Away","CHA","185","254","3,85","5,29","35,35","36,4","18,41","77,08","850","Loss","3"
"22.11.2019","Home","MTE","171","234","3,56","4,88","31,88","37,17","19,42","73,55","438","Loss","1"
"22.11.2019","Away","VAL","235","135","4,9","2,81","39,52","30,21","23,51","81,3","1200","Win","4"
"22.11.2019","Home","PRI","282","206","5,88","4,29","40,98","35,79","34,09","86,07","732","Win","10"
"22.11.2019","Away","TER","246","161","5,13","3,35","40,65","31,13","26,37","82,08","750","Loss","6"
"22.11.2019","Home","GAT","153","260","3,19","5,42","34,77","46,23","12,06","74,24","1031","Win","5"
"22.11.2019","Away","STJ","233","143","4,85","2,98","38,83","29,83","25,72","78,61","804","Loss","2"
"22.11.2019","Home","STG","158","278","3,29","5,79","27","44,85","15,34","69,44","801","Loss","1"
